bank_txn_id,txn_date,narration,credit,debit,closing_balance
bank_0001,2025-06-03,UPI-RAZORPAYSOFTWARE-SETTLEMENT-CR,15417.07,,515417.07
bank_0002,2025-06-05,NEFT-RZPX8293-RAZORPAY SOFTWA,8222.99,,523640.06
bank_0003,2025-06-05,NEFT-RZPX 3532 0492-RAZORPAY SOFTWARE PVT LTD,4684.76,,528324.82
bank_0004,2025-06-05,UPI/DR/512334123/PROPCO REALTY/OFFICE RENT JUN,,35000.00,493324.82
bank_0005,2025-06-09,NEFT-RZPX61401477-RAZORPAY SOFT,5858.14,,499182.96
bank_0006,2025-06-09,RTGS-RZPX15858241-RAZORPAY SOFTWARE PVT LTD-COLLECTIONS,17326.51,,516509.47
bank_0007,2025-06-10,NEFT/RZPX61167978/RAZORPAY SOFTWARE PRIVATE LIMI,9839.88,,526349.35
bank_0008,2025-06-10,IMPS/RZPX 9751 2508/RAZORPAYSOFTWAREP,4811.12,,531160.47
bank_0009,2025-06-11,NEFT-RZPX14968688-RAZORPAY SOFT,10627.93,,541788.40
bank_0010,2025-06-12,IMPS/RZPX 5455 9574/RAZORPAYSOFTWAREP,12828.90,,554617.30
bank_0011,2025-06-12,ACH-DR-VENDOR PAYMENT-SUPPLYCO PACKAGING,,12450.00,542167.30
bank_0012,2025-06-13,NEFT-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,107283.99,,649451.29
bank_0013,2025-06-13,NEFT-RZPX1205-RAZORPAY SOFTWA,12196.24,,661647.53
bank_0014,2025-06-16,NEFT-RZPX63124147-RAZORPAY SOFT,,8646.92,653000.61
bank_0015,2025-06-17,IMPS/RZPX9788321/RAZORPAYSOFTWAREP,19000.06,,672000.67
bank_0016,2025-06-17,NEFT-CR-HDFC0001234-DIRECT CUSTOMER TRANSFER,8900.00,,680900.67
bank_0017,2025-06-18,NEFT-RZPX45570755-RAZORPAY SOFTWARE PVT LTD,7417.70,,688318.37
bank_0018,2025-06-18,NEFT-RZPX97219599-RAZORPAY SOFTWARE PVT LTD,5469.58,,693787.95
bank_0019,2025-06-18,NEFT/RZPX81621574/RAZORPAY SOFTWARE PRIVATE LIMI,8407.29,,702195.24
bank_0020,2025-06-18,NEFT-RZPX 7549 1202-RAZORPAY SOFTWARE PVT LTD,15555.16,,717750.40
bank_0021,2025-06-19,NEFT-RZPX19183277-RAZORPAY SOFT,13210.18,,730960.58
bank_0022,2025-06-20,NEFT-RZPX4871356-RAZORPAY SOFTWARE PVT LTD,8184.45,,739145.03
bank_0023,2025-06-24,NEFT/RZPX 6824 6664/RAZORPAY SOFTWARE PRIVATE LIMI,12808.40,,751953.43
bank_0024,2025-06-24,UPI-RAZORPAYSOFTWARE-SETTLEMENT-CR,1463.62,,753417.05
bank_0025,2025-06-24,UPI-RAZORPAYSOFTWARE-SETTLEMENT-CR,1463.62,,754880.67
bank_0026,2025-06-24,RTGS-RZPX49375156-RAZORPAY SOFTWARE PVT LTD-COLLECTIONS,14356.35,,769237.02
bank_0027,2025-06-24,NEFT-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,8050.64,,777287.66
bank_0028,2025-06-24,NEFT-RZPX00088421-RAZORPAY CAPITAL LOAN DISB,250000.00,,1027287.66
bank_0029,2025-06-25,IMPS/RZPX34166826/RAZORPAYSOFTWAREP,6500.58,,1033788.24
bank_0030,2025-06-26,NEFT-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,11688.94,,1045477.18
bank_0031,2025-06-26,NEFT-RZPX46840133-RAZORPAY SOFT,8646.92,,1054124.10
bank_0032,2025-06-27,NEFT/RZPX88270025/RAZORPAY SOFTWARE PRIVATE LIMI,3734.78,,1057858.88
bank_0033,2025-06-30,IMPS-RZP-SETTLEMENT-JUN-CR,4144.04,,1062002.92
bank_0034,2025-06-30,SALARY JUN 2025 PAYROLL BATCH,,185000.00,877002.92
bank_0035,2025-07-01,NEFT/RZPX 7244 5234/RAZORPAY SOFTWARE PRIVATE LIMI,10122.90,,887125.82
bank_0036,2025-07-02,RTGS-RZPX31203129-RAZORPAY SOFTWARE PVT LTD-COLLECTIONS,3339.46,,890465.28
bank_0037,2025-07-02,NEFT/RZPX88862539/RAZORPAY SOFTWARE PRIVATE LIMI,8065.80,,898531.08
bank_0038,2025-07-02,IMPS-RZP-SETTLEMENT-JUN-CR,3903.64,,902434.72
