bank_txn_id,settlement_ids,payment_ids,order_ids,relation_type,edge_case_ids
bank_0001,stl_00001,pay_00001|pay_00002|pay_00003|pay_00004|pay_00005,ord_00001|ord_00002|ord_00003|ord_00004|ord_00005,batch_settlement,
bank_0002,stl_00002,pay_00006|pay_00007,ord_00006|ord_00007,batch_settlement,EC06
bank_0003,stl_00003,pay_00008|pay_00009,ord_00009|ord_00010,batch_settlement,
bank_0004,,,,foreign,
bank_0005,stl_00004,pay_00010|pay_00011|pay_00012,ord_00011|ord_00012|ord_00013,batch_settlement,
bank_0006,stl_00005,pay_00013|pay_00014|pay_00015,ord_00014|ord_00015|ord_00016,batch_settlement,
bank_0007,stl_00006,pay_00016|pay_00017|pay_00018|pay_00019,ord_00017|ord_00018|ord_00019|ord_00020,batch_settlement,
bank_0008,stl_00007,pay_00020|pay_00021|pay_00022,ord_00022|ord_00023|ord_00024,batch_settlement,
bank_0009,stl_00008,pay_00023|pay_00024,ord_00026|ord_00027,batch_settlement,
bank_0010,stl_00009,pay_00025|pay_00026|pay_00027|pay_00028|pay_00029,ord_00028|ord_00029|ord_00030|ord_00031|ord_00032,batch_settlement,
bank_0011,,,,foreign,
bank_0012,stl_00010,pay_00030|pay_00031|pay_00032|pay_00033|pay_00034|pay_00035|pay_00036|pay_00037|pay_00038|pay_00039|pay_00040|pay_00041|pay_00042|pay_00043|pay_00044|pay_00045|pay_00046|pay_00047|pay_00048|pay_00049|pay_00050|pay_00051|pay_00052|pay_00053|pay_00054|pay_00055|pay_00056|pay_00057|pay_00058|pay_00059|pay_00060|pay_00061|pay_00062|pay_00063|pay_00064|pay_00065|pay_00066|pay_00067|pay_00068|pay_00069,ord_00033|ord_00034|ord_00035|ord_00036|ord_00037|ord_00038|ord_00039|ord_00040|ord_00041|ord_00042|ord_00043|ord_00044|ord_00045|ord_00046|ord_00047|ord_00048|ord_00049|ord_00050|ord_00051|ord_00052|ord_00053|ord_00054|ord_00055|ord_00056|ord_00057|ord_00058|ord_00059|ord_00060|ord_00061|ord_00062|ord_00063|ord_00064|ord_00065|ord_00066|ord_00067|ord_00068|ord_00069|ord_00070|ord_00071|ord_00072,batch_settlement,EC01
bank_0013,stl_00011,pay_00070|pay_00071|pay_00072,ord_00073|ord_00074|ord_00075,batch_settlement,
bank_0014,stl_00032,cb_0001,ord_00073,chargeback_debit,EC04
bank_0015,stl_00012,pay_00073|pay_00074|pay_00075|pay_00076,ord_00077|ord_00078|ord_00079|ord_00080,batch_settlement,EC08
bank_0016,,,,foreign,
bank_0017,stl_00013,pay_00077|pay_00078|pay_00079,ord_00081|ord_00082|ord_00083,batch_settlement,EC08
bank_0018,stl_00014,pay_00080|pay_00081|pay_00082|pay_00083,ord_00085|ord_00086|ord_00087|ord_00088,batch_settlement,
bank_0019,stl_00015,pay_00084|pay_00086|pay_00087,ord_00089|ord_00091|ord_00092,batch_settlement,EC09
bank_0020,stl_00016,pay_00088|pay_00089|pay_00090|pay_00091,ord_00093|ord_00094|ord_00095|ord_00096,batch_settlement,
bank_0021,stl_00017,pay_00092|pay_00093|pay_00094|pay_00095|pay_00096,ord_00097|ord_00098|ord_00099|ord_00100|ord_00101,batch_settlement,
bank_0022,stl_00018,pay_00097|pay_00098|pay_00099,ord_00102|ord_00104|ord_00105,batch_settlement,
bank_0023,stl_00019,pay_00100|pay_00101|pay_00102|pay_00103,ord_00106|ord_00107|ord_00108|ord_00109,batch_settlement,
bank_0024,stl_00020,pay_00104,ord_00110,singleton_settlement,EC07
bank_0025,stl_00021,pay_00105,ord_00111,singleton_settlement,EC07
bank_0026,stl_00022,pay_00106|pay_00107|pay_00108|pay_00109,ord_00112|ord_00113|ord_00114|ord_00116,batch_settlement,
bank_0027,stl_00023,pay_00110|pay_00111|pay_00112,ord_00118|ord_00119|ord_00120,batch_settlement,
bank_0028,,,,foreign,EC11
bank_0029,stl_00024,pay_00113,ord_00122,singleton_settlement,
bank_0030,stl_00025,pay_00114|pay_00115|pay_00116|rfnd_0004,ord_00123|ord_00125|ord_00126|ord_00034,batch_settlement,EC03
bank_0031,stl_00033,cbrev_0001,ord_00073,chargeback_reversal_credit,EC05
bank_0032,stl_00026,pay_00117|pay_00118|pay_00119|rfnd_0003,ord_00127|ord_00128|ord_00129|ord_00015,batch_settlement,EC03
bank_0033,stl_00027,pay_00120|pay_00121|pay_00122|rfnd_0001,ord_00130|ord_00131|ord_00132|ord_00053,batch_settlement,EC03
bank_0034,,,,foreign,
bank_0035,stl_00028,pay_00123|pay_00124|pay_00125|pay_00126,ord_00133|ord_00134|ord_00135|ord_00136,batch_settlement,
bank_0036,stl_00029,pay_00127|pay_00128|pay_00129|adj_0001,ord_00137|ord_00138|ord_00139,batch_settlement,
bank_0037,stl_00030,pay_00130|pay_00131|pay_00132|pay_00133|rfnd_0002,ord_00141|ord_00142|ord_00143|ord_00144|ord_00065,batch_settlement,EC03
bank_0038,stl_00031,pay_00134|pay_00135,ord_00145|ord_00146,batch_settlement,
,stl_00015,pay_00085,ord_00090,unsettled_hold,EC09
