order_id,customer_id,order_amount,currency,created_at,status
ord_00001,cust_0347,1499.00,INR,2025-06-01T10:47:06+05:30,paid
ord_00002,cust_0048,6018.58,INR,2025-06-01T19:02:01+05:30,paid
ord_00003,cust_0360,4999.00,INR,2025-06-01T12:45:41+05:30,paid
ord_00004,cust_0004,1299.00,INR,2025-06-01T14:51:55+05:30,paid
ord_00005,cust_0111,1974.14,INR,2025-06-01T16:17:09+05:30,paid
ord_00006,cust_0023,2499.00,INR,2025-06-02T17:38:16+05:30,paid
ord_00007,cust_0151,5922.75,INR,2025-06-02T18:05:35+05:30,paid
ord_00008,cust_0361,6785.64,INR,2025-06-02T17:36:12+05:30,failed
ord_00009,cust_0052,1299.00,INR,2025-06-03T08:54:14+05:30,paid
ord_00010,cust_0182,3499.00,INR,2025-06-03T17:10:23+05:30,paid
ord_00011,cust_0126,799.00,INR,2025-06-04T11:34:46+05:30,paid
ord_00012,cust_0394,2499.00,INR,2025-06-04T13:43:20+05:30,paid
ord_00013,cust_0034,2701.74,INR,2025-06-04T16:25:17+05:30,paid
ord_00014,cust_0256,6247.31,INR,2025-06-05T16:13:41+05:30,paid
ord_00015,cust_0288,3499.00,INR,2025-06-05T10:15:47+05:30,paid
ord_00016,cust_0071,7999.00,INR,2025-06-05T18:23:14+05:30,paid
ord_00017,cust_0349,499.00,INR,2025-06-06T10:40:10+05:30,paid
ord_00018,cust_0284,799.00,INR,2025-06-06T20:33:16+05:30,paid
ord_00019,cust_0275,420.38,INR,2025-06-06T09:43:56+05:30,paid
ord_00020,cust_0081,8359.34,INR,2025-06-06T09:18:27+05:30,paid
ord_00021,cust_0055,1499.00,INR,2025-06-07T11:32:58+05:30,pending
ord_00022,cust_0079,3429.42,INR,2025-06-07T22:38:12+05:30,paid
ord_00023,cust_0307,999.00,INR,2025-06-07T22:58:00+05:30,paid
ord_00024,cust_0158,499.00,INR,2025-06-07T17:56:53+05:30,paid
ord_00025,cust_0036,7999.00,INR,2025-06-08T08:46:31+05:30,failed
ord_00026,cust_0282,5885.82,INR,2025-06-08T10:42:30+05:30,paid
ord_00027,cust_0277,4999.00,INR,2025-06-08T19:13:59+05:30,paid
ord_00028,cust_0265,1499.00,INR,2025-06-09T17:28:57+05:30,paid
ord_00029,cust_0284,1299.00,INR,2025-06-09T16:01:37+05:30,paid
ord_00030,cust_0017,1299.00,INR,2025-06-09T07:14:04+05:30,paid
ord_00031,cust_0110,1042.99,INR,2025-06-09T14:42:31+05:30,paid
