settlement_id,payment_id,order_id,type,gross_amount,fee,gst_on_fee,net_amount,settled_at,utr,status
stl_00001,pay_00001,ord_00001,payment,1499.00,29.98,5.40,1463.62,2025-06-03T14:00:00+05:30,RZPX82287061,processed
stl_00001,pay_00002,ord_00002,payment,6018.58,120.37,21.67,5876.54,2025-06-03T14:00:00+05:30,RZPX82287061,processed
stl_00001,pay_00003,ord_00003,payment,4999.00,99.98,18.00,4881.02,2025-06-03T14:00:00+05:30,RZPX82287061,processed
stl_00001,pay_00004,ord_00004,payment,1299.00,25.98,4.68,1268.34,2025-06-03T14:00:00+05:30,RZPX82287061,processed
stl_00001,pay_00005,ord_00005,payment,1974.14,39.48,7.11,1927.55,2025-06-03T14:00:00+05:30,RZPX82287061,processed
stl_00002,pay_00006,ord_00006,payment,2499.00,49.98,9.00,2440.02,2025-06-04T14:00:00+05:30,RZPX82937948,processed
stl_00002,pay_00007,ord_00007,payment,5922.75,118.46,21.32,5782.97,2025-06-04T14:00:00+05:30,RZPX82937948,processed
stl_00003,pay_00008,ord_00009,payment,1299.00,25.98,4.68,1268.34,2025-06-05T14:00:00+05:30,RZPX35320492,processed
stl_00003,pay_00009,ord_00010,payment,3499.00,69.98,12.60,3416.42,2025-06-05T14:00:00+05:30,RZPX35320492,processed
stl_00004,pay_00010,ord_00011,payment,799.00,15.98,2.88,780.14,2025-06-06T14:00:00+05:30,RZPX61401477,processed
stl_00004,pay_00011,ord_00012,payment,2499.00,49.98,9.00,2440.02,2025-06-06T14:00:00+05:30,RZPX61401477,processed
stl_00004,pay_00012,ord_00013,payment,2701.74,54.03,9.73,2637.98,2025-06-06T14:00:00+05:30,RZPX61401477,processed
stl_00005,pay_00013,ord_00014,payment,6247.31,124.95,22.49,6099.87,2025-06-09T14:00:00+05:30,RZPX15858241,processed
stl_00005,pay_00014,ord_00015,payment,3499.00,69.98,12.60,3416.42,2025-06-09T14:00:00+05:30,RZPX15858241,processed
stl_00005,pay_00015,ord_00016,payment,7999.00,159.98,28.80,7810.22,2025-06-09T14:00:00+05:30,RZPX15858241,processed
stl_00006,pay_00016,ord_00017,payment,499.00,9.98,1.80,487.22,2025-06-10T14:00:00+05:30,RZPX61167978,processed
stl_00006,pay_00017,ord_00018,payment,799.00,15.98,2.88,780.14,2025-06-10T14:00:00+05:30,RZPX61167978,processed
stl_00006,pay_00018,ord_00019,payment,420.38,8.41,1.51,410.46,2025-06-10T14:00:00+05:30,RZPX61167978,processed
stl_00006,pay_00019,ord_00020,payment,8359.34,167.19,30.09,8162.06,2025-06-10T14:00:00+05:30,RZPX61167978,processed
stl_00007,pay_00020,ord_00022,payment,3429.42,68.59,12.35,3348.48,2025-06-10T14:00:00+05:30,RZPX97512508,processed
stl_00007,pay_00021,ord_00023,payment,999.00,19.98,3.60,975.42,2025-06-10T14:00:00+05:30,RZPX97512508,processed
stl_00007,pay_00022,ord_00024,payment,499.00,9.98,1.80,487.22,2025-06-10T14:00:00+05:30,RZPX97512508,processed
stl_00008,pay_00023,ord_00026,payment,5885.82,117.72,21.19,5746.91,2025-06-10T14:00:00+05:30,RZPX14968688,processed
stl_00008,pay_00024,ord_00027,payment,4999.00,99.98,18.00,4881.02,2025-06-10T14:00:00+05:30,RZPX14968688,processed
stl_00009,pay_00025,ord_00028,payment,1499.00,29.98,5.40,1463.62,2025-06-11T14:00:00+05:30,RZPX54559574,processed
stl_00009,pay_00026,ord_00029,payment,1299.00,25.98,4.68,1268.34,2025-06-11T14:00:00+05:30,RZPX54559574,processed
stl_00009,pay_00027,ord_00030,payment,1299.00,25.98,4.68,1268.34,2025-06-11T14:00:00+05:30,RZPX54559574,processed
stl_00009,pay_00028,ord_00031,payment,1042.99,20.86,3.75,1018.38,2025-06-11T14:00:00+05:30,RZPX54559574,processed
stl_00009,pay_00029,ord_00032,payment,7999.00,159.98,28.80,7810.22,2025-06-11T14:00:00+05:30,RZPX54559574,processed
stl_00010,pay_00030,ord_00033,payment,799.00,15.98,2.88,780.14,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00031,ord_00034,payment,868.02,17.36,3.12,847.54,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00032,ord_00035,payment,799.00,15.98,2.88,780.14,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00033,ord_00036,payment,1499.00,29.98,5.40,1463.62,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00034,ord_00037,payment,4999.00,99.98,18.00,4881.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00035,ord_00038,payment,3499.00,69.98,12.60,3416.42,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00036,ord_00039,payment,2499.00,49.98,9.00,2440.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00037,ord_00040,payment,8514.14,170.28,30.65,8313.21,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00038,ord_00041,payment,499.00,9.98,1.80,487.22,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00039,ord_00042,payment,3499.00,69.98,12.60,3416.42,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00040,ord_00043,payment,999.00,19.98,3.60,975.42,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00041,ord_00044,payment,7999.00,159.98,28.80,7810.22,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00042,ord_00045,payment,7999.00,159.98,28.80,7810.22,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00043,ord_00046,payment,1499.00,29.98,5.40,1463.62,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00044,ord_00047,payment,397.67,7.95,1.43,388.29,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00045,ord_00048,payment,999.00,19.98,3.60,975.42,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00046,ord_00049,payment,3499.00,69.98,12.60,3416.42,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00047,ord_00050,payment,4999.00,99.98,18.00,4881.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00048,ord_00051,payment,799.00,15.98,2.88,780.14,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00049,ord_00052,payment,1999.00,39.98,7.20,1951.82,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00050,ord_00053,payment,832.66,16.65,3.00,813.01,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00051,ord_00054,payment,999.00,19.98,3.60,975.42,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00052,ord_00055,payment,2499.00,49.98,9.00,2440.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00053,ord_00056,payment,6020.92,120.42,21.68,5878.82,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00054,ord_00057,payment,499.00,9.98,1.80,487.22,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00055,ord_00058,payment,799.00,15.98,2.88,780.14,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00056,ord_00059,payment,2782.37,55.65,10.02,2716.70,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00057,ord_00060,payment,1999.00,39.98,7.20,1951.82,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00058,ord_00061,payment,3097.66,61.95,11.15,3024.56,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00059,ord_00062,payment,2632.38,52.65,9.48,2570.25,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00060,ord_00063,payment,1299.00,25.98,4.68,1268.34,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00061,ord_00064,payment,4999.00,99.98,18.00,4881.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
